key,value,documentSection,order,notes,placeholder,helperText
requiresTechEo,Requires tech E&O,,,,,
cyberIndustry,Industry,,,,,
cyberEmployeeCount,Employee Count,,,,,
ONE_TO_TWENTY_FIVE,1-25,,,,,
TWENTY_SIX_TO_FIFTY,26-50,,,,,
FIFTY_ONE_TO_TWO_HUNDRED_FIFTY,51-250,,,,,
TWO_HUNDRED_FIFTY_ONE_TO_ONE_THOUSAND,251-1000,,,,,
ABOVE_ONE_THOUSAND,1000+,,,,,
cyberRevenue,Revenue,,,,,
cyberGrossProfitNetRevenue,Gross Profit Net Revenue,,,,,
priorClaims,"(en-CA) Within the last 3 years has the company suffered any cyber incidents resulting in a claim in excess of $25,000?",,,,,
priorClaimsExplanation,"Please provide details of each claim or incident, and the steps taken to remediate the issue(s)",,,,,
priorClaimsUploads,Please submit any relevant claims or underwriting information below.,,,,,
awareOfNewClaims,Are you aware of any circumstances at the company which might give rise to a claim under this insurance policy?,,,,,"When obtaining a Coalition quote, you're asked whether a prospective insured has had a prior incident or claim. Coalition does not disqualify anyone from coverage due to past claims. Often we see that organizations that have experienced incidents in the past and have made investments to harden their cyber defenses are among the most protected. Since Coalition insurance includes full prior acts by default, you will be asked for details of any incident."
awareOfNewClaimsExplanation,"Please provide details of each claim or incident, and the steps taken to remediate the issue(s)",,,,"Please provide details of each claim or incident, and the steps taken to remediate the issue(s). Where possible, details should include: Date of event (MM/DD/YY), date noticed to insurer, insurer name, law enforcement report, and description of event.",
awareOfNewClaimsUploads,Please submit any relevant claims or underwriting information below.,,,,,
encryptsData,"Does company implement encryption on laptop computers, desktop computers, and other portable media devices?",,,,,"Encrypting your computer is critical in protecting your data if your computer is physically lost or stolen. Encrypting your data with modern computer hardware and software has become much easier with the built-in solutions. We recommend always enabling Full Disk Encryption (like BitLocker and FileVault) wherever possible, and most critically, on mobile computers."
YES,Yes,,,,,
NO,No,,,,,
SOMETIMES,Sometimes,,,,,
piiPhi,"Does company collect, process, store, transmit, or have access to any Payment Card Information (PCI), Personally Identifiable Information (PII), or Protected Health Information (PHI) other than employees of company?",,,,,"Our policy defines PII and PHI as any information about an individual that is required by any local, state, provincial, territorial, federal, or foreign law or regulation to be protected from unauthorized access, acquisition, or public disclosure. We've deliberately used a broad definition of PII to cover all the definitions used by state, provincial, territorial, federal, and foreign law."
piiPhiCount,"How many PII or PHI records does the company collect, process, store, transmit, or have access to?",,,,,
NO_RECORD,No records,,,,,
LESS_THAN_100K,<100k,,,,,
100K_TO_500K,100k - 500k,,,,,
500K_TO_1M,500k - 1m,,,,,
ABOVE_1M,Above 1M,,,,,
actualPiiPhiCount,"Actual PII/PHI Record Count",,,,,
creditCardCustomerCount,"What is the estimated annual volume of payment card transactions (credit cards, debit cards, etc.)?",,,,,
actualCreditCardCustomerCount,Actual credit card record count number,,,,,
backupRestore,Does company maintain at least weekly backups of all sensitive or otherwise critical data and all critical business systems offline or on a separate network?,,,,,A good data backup can mean the difference between a total loss and a full recovery after an incident. Coalition recommends backups be maintained offsite for critical business data and be regularly tested for full recovery.
